id,publisher_id,title,category,origin,mrp,price,image_url,description,status,created_at,isbn,sku,top_category,subcategory,age_band,binding,no_of_pages,publisher_name,video_link,flipbook_link,opening_inventory,track_inventory,cover_url
69143a7c-d951-4fa5-82a9-0085852d97ea,null,My Giant Book Of Phonics,null,null,null,199,https://www.booksatdoorsteps.online/covers/818728202-9.My%20Giant%20Book%20Of%20Phonics.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-02-9,HESTTO,Kids Learning,Ukg; Activities; English activities and writing; Phonic based learning; two letter word practice,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/818728202-9.My%20Giant%20Book%20Of%20Phonics.png.png
67167d9a-94c1-494a-8dc1-e2e3643ac9dc,null,MY FIRST BOOK OF WORDS,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-26-6.MY%20FIRST%20BOOK%20OF%20WORDS.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-26-6,MYFIB1,Kids Learning,Play Group; Nursery; Picture book; Vocabulary builder; Word recognition,Foundation Stage (3-5),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-26-6.MY%20FIRST%20BOOK%20OF%20WORDS.png.png
d369c83e-696d-451a-b5e4-77911a38b787,null,COLOURING BOOK- 2,null,null,null,116,https://www.booksatdoorsteps.online/covers/81-87282-31-2.COLOURING%20BOOK-%202.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-31-2,COBO2,Kids Learning,Lkg; Colouring,Infants KS1 (5-7),Paperback,64,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-31-2.COLOURING%20BOOK-%202.png.jpg
0835866a-1c74-4939-bbbc-c00ba86bfc0d,null,Spell Smart 5,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-40-1.Spell%20Smart%205.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-40-1,SPSM5,Kids Learning,Activities; English activities; Phonic based learning; Spelling activities,Junior KS2 (7-11),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-40-1.Spell%20Smart%205.png.png
f1433288-ab4b-4440-8e76-d3c3d937ec87,null,Spell Smart 4,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-41-X.Spell%20Smart%204.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-41-X,SPSM4,Kids Learning,Activities; English activities; Phonic based learning; Spelling activities,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-41-X.Spell%20Smart%204.png.jpg
aef6a05a-ed68-4e6d-9cd6-ea568a3b6884,null,Spell Smart 3,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-42-8.Spell%20Smart%203.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-42-8,SPSM3,Kids Learning,Activities; English activities; Phonic based learning; Spelling activities,Junior KS2 (7-11),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-42-8.Spell%20Smart%203.png.jpg
5b31c0a3-c650-4601-8148-7176a099cb98,null,Spell Smart 2,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-43-6.Spell%20Smart%202.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-43-6,SPSM2,Kids Learning,Activities; English activities; Phonic based learning; Spelling activities,Junior KS2 (7-11),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-43-6.Spell%20Smart%202.png.jpg
3392cf47-ca5d-4d55-aeae-afcd4284b3ec,null,My Giant Book of Paste N Colour,null,null,null,191,https://www.booksatdoorsteps.online/covers/81-87282-46-0.My%20Giant%20Book%20of%20Paste%20N%20Colour.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-46-0,MYGIBO,Kids Learning,Lkg; Colouring,Foundation Stage (3-5),Paperback,70,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-46-0.My%20Giant%20Book%20of%20Paste%20N%20Colour.png.jpg
ec706e6f-5faf-4a97-a840-16ab8272de28,null,Alphabet Activity and writing worksheets,null,null,null,199,https://www.booksatdoorsteps.online/covers/81-87282-49-5.Alphabet%20Activity%20and%20writing%20worksheets.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-49-5,ALACAN,Kids Learning,Lkg; Activities; Alphabet activities and writing,Foundation Stage (3-5),Paperback,104,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-49-5.Alphabet%20Activity%20and%20writing%20worksheets.png.jpg
65d6d6e7-c693-4524-940e-e21920cbddf2,null,jumbo colouring,null,null,null,231,https://www.booksatdoorsteps.online/covers/938443880-4.JUMBO%20COLOURING.png,null,approved,2026-07-12 11:38:21.560713+00,938443880-4,JUCO,Kids Learning,Lkg; Colouring,Infants KS1 (5-7),Paperback,128,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443880-4.JUMBO%20COLOURING.png
da9c1964-6266-4dee-8081-ff2333d5b50a,null,Daily Expressions Diary level 2,null,null,null,151,https://www.booksatdoorsteps.online/covers/81-87282-53-3.Daily%20Expressions%20Diary%20level%202.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-53-3,DAEXDI,Kids Learning,Creative writing; Diary; Language development,Junior KS2 (7-11),Paperback,80,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-53-3.Daily%20Expressions%20Diary%20level%202.jpg
418c6838-f812-407d-b5d4-84c540475730,null,From Patterns to Handwriting With Activities and Rhymes,null,null,null,145,https://www.booksatdoorsteps.online/covers/81-87282-54-1.From%20Patterns%20to%20%20Handwriting.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-54-1,FRPATO,Kids Learning,Nursery; Pattern activities; Pre-writing skills,Foundation Stage (3-5),Paperback,38,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-54-1.From%20Patterns%20to%20%20Handwriting.png.jpg
d04a2447-e58e-479b-b567-b3cfefb70f10,null,My Giant Book of Phonics ,null,null,null,212,https://www.booksatdoorsteps.online/covers/81-87282-59-2.My%20Giant%20Book%20of%20Phonics%20cover.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-59-2,MYGIB1,Kids Learning,Ukg; Activities; English activities and writing; Phonic based learning,Infants KS1 (5-7),Paperback,136,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-59-2.My%20Giant%20Book%20of%20Phonics%20cover.png.png
8473b49b-e276-46a5-a09c-80900a0b3033,null,My First Cursive Strokes,null,null,null,124,https://www.booksatdoorsteps.online/covers/81-87282-60-6.My%20First%20Cursive%20Strokes.PNG.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-60-6,MYFICU,Kids Learning,Activities; English writing; Cursive handwriting practice,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-60-6.My%20First%20Cursive%20Strokes.PNG.png
2755516d-59a0-4435-99a9-2037bcf915a1,null,Alphabet Activity and Writing Worksheets lower case,null,null,null,215,https://www.booksatdoorsteps.online/covers/81-87282-61-4.Alphabet%20Activity%20and%20Writing%20Worksheets%20lower%20case.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-61-4,ALACA1,Kids Learning,Lkg; Activities; Alphabet activities and writing,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-61-4.Alphabet%20Activity%20and%20Writing%20Worksheets%20lower%20case.png.jpg
22904f03-0edf-49a2-830c-195e401ea444,null,Numbers 1-50,null,null,null,215,https://www.booksatdoorsteps.online/covers/81-87282-73-8.Numbers%201-50.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,81-87282-73-8,NU150,Kids Learning,Kids Learnin; Lkg; Numbers Activity worksheets,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-73-8.Numbers%201-50.png.jpg
c1082faa-edde-4c69-bab5-b0b351a1f0be,null,Alphabet Capital and Small,null,null,null,215,https://www.booksatdoorsteps.online/covers/938443867-7.Alphabet%20Capital%20and%20Small.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443867-7,ALCAAN,Kids Learning,Lkg; Activities; Alphabet activities and writing,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443867-7.Alphabet%20Capital%20and%20Small.png.png
282efa2f-dbe3-4710-88bd-b9a4c6d8effb,null,ENJOY WRITING ALPHAPET,null,null,null,215,https://www.booksatdoorsteps.online/covers/938443863-4.ENJOY%20WRITING%20ALPHAPET.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443863-4,ENWRAL,Kids Learning,Lkg; Activities; Alphabet activities and writing,Infants KS1 (5-7),Paperback,56,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443863-4.ENJOY%20WRITING%20ALPHAPET.png.png
3aeb7737-f2ff-4c8f-aed9-724a266d1227,null,My Big Book  Of  Pictures,null,null,null,199,https://www.booksatdoorsteps.online/covers/81-87282-82-7.My%20Big%20Book%20%20Of%20%20Pictures.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-82-7,MYBIBO,Kids Learning,Nursery; picture book; Lkg; General knowledge; vocabulary development,Infants KS1 (5-7),Paperback,74,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-82-7.My%20Big%20Book%20%20Of%20%20Pictures.png.png
bc5563e5-d0ea-403c-9156-dd2fe17ebc82,null,My Big Book Of Activities,null,null,null,199,https://www.booksatdoorsteps.online/covers/81-87282-85-1.My%20Big%20Book%20Of%20Activities.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-85-1,MYBIB1,Kids Learning,Lkg /Ukg; Activities; language; Evs; General knowledge,Infants KS1 (5-7),Paperback,54,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-85-1.My%20Big%20Book%20Of%20Activities.png
70c5f094-b2e3-4062-92eb-9f611774a44c,null,COLOURING BOOK 3,null,null,null,116,https://www.booksatdoorsteps.online/covers/938443883-9.COLOURING%20BOOK%203.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443883-9,COBO3,Kids Learning,Lkg; Colouring; Copy colouring,Infants KS1 (5-7),Paperback,64,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443883-9.COLOURING%20BOOK%203.png.jpg
44815bf8-1524-49cf-8657-f998e9719d6a,null,Let  Us Read and Write,null,null,null,199,https://www.booksatdoorsteps.online/covers/81-87282-87-8.Let%20%20Us%20Read%20and%20Write.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-87-8,LEUSRE,Kids Learning,Ukg; Activities; English activities and writing; Phonic based learning,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-87-8.Let%20%20Us%20Read%20and%20Write.png.png
5a3f3835-e3fd-46cd-b2a5-26be0c1b9ccc,null,Shabd avam Vakya,null,null,null,223,https://www.booksatdoorsteps.online/covers/81-87282-96-7.Shabd%20avam%20Vakya.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-96-7,SHAVVA,Kids Learning,Ukg; ActivitiesHindi activities; Words and sentence formation in Hindi,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-96-7.Shabd%20avam%20Vakya.png.png
e5bbfa9c-e294-4ae2-83a7-69fb2a6fce63,null,Alphabet for beginners  and Numbers,null,null,null,116,https://www.booksatdoorsteps.online/covers/81-87282-97-5.Alphabet%20for%20beginners%20%20and%20Numbers.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-97-5,ALFOBE,Kids Learning,Play Group; Picture book; English Reader,Foundation Stage (3-5),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-97-5.Alphabet%20for%20beginners%20%20and%20Numbers.png.png
b99701c0-ffb0-4d83-902b-ac861d411eaf,null,My First Ponic Reader,null,null,null,199,https://www.booksatdoorsteps.online/covers/81-87282-99-1.My%20First%20Ponic%20Reader.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-99-1,MYFIPO,Kids Learning,Ukg; Activities; English activities; English Reader; Phonic based learning,Infants KS1 (5-7),Paperback,98,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-99-1.My%20First%20Ponic%20Reader.png.png
b0a27fc9-bace-46f7-b274-796f930ca691,null,Spell Smart 1,null,null,null,124,https://www.booksatdoorsteps.online/covers/938443881-2.Spell%20Smart%201.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443881-2,SPSM1,Kids Learning,Activities; English activities; Phonic based learning; Spelling activities,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443881-2.Spell%20Smart%201.png.png
9925076c-c1a9-4b17-bcdb-02bb4585c59d,null,MATHS SMART 1,null,null,null,143,https://www.booksatdoorsteps.online/covers/938443875-8.MATHS%20SMART%201.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443875-8,MASM1,Kids Learning,Activities; Maths activities; Mental Mathematic,Infants KS1 (5-7),Paperback,116,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443875-8.MATHS%20SMART%201.png.png
0c8c10ab-877c-48b6-ae99-1ae516703617,null,MATHS SMART 4,null,null,null,143,https://www.booksatdoorsteps.online/covers/938443862-6.MATHS%20SMART%204.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443862-6,MASM4,Kids Learning,Activities; Maths activities; Mental Mathematic,Junior KS2 (7-11),Paperback,116,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443862-6.MATHS%20SMART%204.png.png
6b7472af-7eca-4be6-846b-19927c7f543c,null,Maths Smart O,null,null,null,215,https://www.booksatdoorsteps.online/covers/938443861-8..Maths%20Smart%20O.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443861-8,MASMO,Kids Learning,Ukg; Activities; Maths activities; Mental Mathematic; Numeric skills development,Infants KS1 (5-7),Paperback,116,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443861-8..Maths%20Smart%20O.png.png
